"participant","Direction","Angular_disparity","Angular_disparity (2)","E","mean_changedheight","Group"
429,"downward",30,30,,1.325,"Motion"
429,"downward",60,60,,1.4,"Motion"
429,"downward",90,90,,1.2,"Motion"
429,"downward",120,120,,1.183333333,"Motion"
429,"upward",30,30,,1.34,"Motion"
429,"upward",60,60,,1.583333333,"Motion"
429,"upward",90,90,,1.283333333,"Motion"
429,"upward",120,120,,1.3,"Motion"
1,"upward",30,30,,1.233333333,"Motion"
1,"upward",60,60,,1.416666667,"Motion"
1,"upward",90,90,,1.616666667,"Motion"
1,"upward",120,120,,1.683333333,"Motion"
1,"downward",30,30,,1.1,"Motion"
1,"downward",60,60,,1.35,"Motion"
1,"downward",90,90,,1.4,"Motion"
1,"downward",120,120,,1.4,"Motion"
2,"upward",30,30,,1.05,"Motion"
2,"upward",60,60,,1.05,"Motion"
2,"upward",90,90,,1.05,"Motion"
2,"upward",120,120,,1.066666667,"Motion"
2,"downward",30,30,,0.966666667,"Motion"
2,"downward",60,60,,1.05,"Motion"
2,"downward",90,90,,1.033333333,"Motion"
2,"downward",120,120,,1.016666667,"Motion"
3,"upward",30,30,,1.216666667,"Motion"
3,"upward",60,60,,1.183333333,"Motion"
3,"upward",90,90,,1.266666667,"Motion"
3,"upward",120,120,,1.366666667,"Motion"
3,"downward",30,30,,1.3,"Motion"
3,"downward",60,60,,1.2,"Motion"
3,"downward",90,90,,1.35,"Motion"
3,"downward",120,120,,1.216666667,"Motion"
4,"upward",30,30,,1.183333333,"Motion"
4,"upward",60,60,,1.316666667,"Motion"
4,"upward",90,90,,1.466666667,"Motion"
4,"upward",120,120,,1.466666667,"Motion"
4,"downward",30,30,,1.0,"Motion"
4,"downward",60,60,,1.183333333,"Motion"
4,"downward",90,90,,1.033333333,"Motion"
4,"downward",120,120,,0.833333333,"Motion"
5,"upward",30,30,,1.016666667,"Motion"
5,"upward",60,60,,0.9,"Motion"
5,"upward",90,90,,0.883333333,"Motion"
5,"upward",120,120,,0.833333333,"Motion"
5,"downward",30,30,,1.083333333,"Motion"
5,"downward",60,60,,0.85,"Motion"
5,"downward",90,90,,1.183333333,"Motion"
5,"downward",120,120,,0.616666667,"Motion"
6,"upward",30,30,,1.2,"Motion"
6,"upward",60,60,,1.5,"Motion"
6,"upward",90,90,,1.766666667,"Motion"
6,"upward",120,120,,1.633333333,"Motion"
6,"downward",30,30,,1.016666667,"Motion"
6,"downward",60,60,,1.083333333,"Motion"
6,"downward",90,90,,1.366666667,"Motion"
6,"downward",120,120,,1.116666667,"Motion"
7,"upward",30,30,,1.016666667,"Motion"
7,"upward",60,60,,1.05,"Motion"
7,"upward",90,90,,1.116666667,"Motion"
7,"upward",120,120,,1.1,"Motion"
7,"downward",30,30,,0.966666667,"Motion"
7,"downward",60,60,,0.916666667,"Motion"
7,"downward",90,90,,0.9,"Motion"
7,"downward",120,120,,0.95,"Motion"
8,"upward",30,30,,0.9,"Motion"
8,"upward",60,60,,0.6,"Motion"
8,"upward",90,90,,1.05,"Motion"
8,"upward",120,120,,0.966666667,"Motion"
8,"downward",30,30,,1.233333333,"Motion"
8,"downward",60,60,,1.183333333,"Motion"
8,"downward",90,90,,1.16,"Motion"
8,"downward",120,120,,1.2,"Motion"
9,"upward",30,30,,1.183333333,"Motion"
9,"upward",60,60,,1.333333333,"Motion"
9,"upward",90,90,,1.35,"Motion"
9,"upward",120,120,,1.466666667,"Motion"
9,"downward",30,30,,0.783333333,"Motion"
9,"downward",60,60,,1.05,"Motion"
9,"downward",90,90,,1.033333333,"Motion"
9,"downward",120,120,,0.733333333,"Motion"
10,"upward",30,30,,1.033333333,"Motion"
10,"upward",60,60,,1.016666667,"Motion"
10,"upward",90,90,,1.0,"Motion"
10,"upward",120,120,,1.05,"Motion"
10,"downward",30,30,,1.1,"Motion"
10,"downward",60,60,,1.0,"Motion"
10,"downward",90,90,,1.05,"Motion"
10,"downward",120,120,,1.0,"Motion"
11,"upward",30,30,,1.05,"Motion"
11,"upward",60,60,,0.983333333,"Motion"
11,"upward",90,90,,1.0,"Motion"
11,"upward",120,120,,0.95,"Motion"
11,"downward",30,30,,1.066666667,"Motion"
11,"downward",60,60,,1.066666667,"Motion"
11,"downward",90,90,,1.033333333,"Motion"
11,"downward",120,120,,0.95,"Motion"
12,"upward",30,30,,1.066666667,"Motion"
12,"upward",60,60,,1.033333333,"Motion"
12,"upward",90,90,,1.05,"Motion"
12,"upward",120,120,,1.083333333,"Motion"
12,"downward",30,30,,1.0,"Motion"
12,"downward",60,60,,0.966666667,"Motion"
12,"downward",90,90,,0.983333333,"Motion"
12,"downward",120,120,,0.95,"Motion"
13,"upward",30,30,,1.05,"Motion"
13,"upward",60,60,,1.033333333,"Motion"
13,"upward",90,90,,1.1,"Motion"
13,"upward",120,120,,1.1,"Motion"
13,"downward",30,30,,1.05,"Motion"
13,"downward",60,60,,1.133333333,"Motion"
13,"downward",90,90,,1.133333333,"Motion"
13,"downward",120,120,,1.033333333,"Motion"
14,"upward",30,30,,1.066666667,"Motion"
14,"upward",60,60,,1.016666667,"Motion"
14,"upward",90,90,,1.033333333,"Motion"
14,"upward",120,120,,1.066666667,"Motion"
14,"downward",30,30,,1.05,"Motion"
14,"downward",60,60,,0.966666667,"Motion"
14,"downward",90,90,,1.05,"Motion"
14,"downward",120,120,,1.016666667,"Motion"
15,"upward",30,30,,1.033333333,"Motion"
15,"upward",60,60,,1.016666667,"Motion"
15,"upward",90,90,,1.0,"Motion"
15,"upward",120,120,,1.05,"Motion"
15,"downward",30,30,,1.0,"Motion"
15,"downward",60,60,,0.933333333,"Motion"
15,"downward",90,90,,0.983333333,"Motion"
15,"downward",120,120,,0.916666667,"Motion"
16,"upward",30,30,,1.15,"Motion"
16,"upward",60,60,,1.1,"Motion"
