"participant","Direction","Angular_disparity","Angular_disparity (2)","E","mean_changedheight","Group"
429,"upward",60,60,,1.116666667,"Static"
429,"upward",90,90,,1.166666667,"Static"
429,"upward",120,120,,1.283333333,"Static"
1,"downward",30,30,,1.066666667,"Static"
1,"downward",60,60,,1.083333333,"Static"
1,"downward",90,90,,1.016666667,"Static"
1,"downward",120,120,,1.016666667,"Static"
1,"upward",30,30,,1.083333333,"Static"
1,"upward",60,60,,1.15,"Static"
1,"upward",90,90,,1.133333333,"Static"
1,"upward",120,120,,1.133333333,"Static"
2,"downward",30,30,,1.066666667,"Static"
2,"downward",60,60,,1.05,"Static"
2,"downward",90,90,,1.116666667,"Static"
2,"downward",120,120,,1.05,"Static"
2,"upward",30,30,,1.083333333,"Static"
2,"upward",60,60,,1.066666667,"Static"
2,"upward",90,90,,1.083333333,"Static"
2,"upward",120,120,,1.083333333,"Static"
3,"downward",30,30,,1.333333333,"Static"
3,"downward",60,60,,1.416666667,"Static"
3,"downward",90,90,,1.8,"Static"
3,"downward",120,120,,1.716666667,"Static"
3,"upward",30,30,,1.466666667,"Static"
3,"upward",60,60,,1.45,"Static"
3,"upward",90,90,,1.983333333,"Static"
3,"upward",120,120,,1.983333333,"Static"
4,"downward",30,30,,1.416666667,"Static"
4,"downward",60,60,,1.733333333,"Static"
4,"downward",90,90,,2.05,"Static"
4,"downward",120,120,,2.133333333,"Static"
4,"upward",30,30,,1.7,"Static"
4,"upward",60,60,,1.583333333,"Static"
4,"upward",90,90,,1.716666667,"Static"
4,"upward",120,120,,2.016666667,"Static"
5,"downward",30,30,,1.05,"Static"
5,"downward",60,60,,1.166666667,"Static"
5,"downward",90,90,,1.133333333,"Static"
5,"downward",120,120,,1.125,"Static"
5,"upward",30,30,,1.075,"Static"
5,"upward",60,60,,1.116666667,"Static"
5,"upward",90,90,,0.96,"Static"
5,"upward",120,120,,0.983333333,"Static"
6,"downward",30,30,,1.366666667,"Static"
6,"downward",60,60,,2.04,"Static"
6,"downward",90,90,,2.633333333,"Static"
6,"downward",120,120,,2.26,"Static"
6,"upward",30,30,,1.133333333,"Static"
6,"upward",60,60,,1.84,"Static"
6,"upward",90,90,,2.566666667,"Static"
6,"upward",120,120,,2.32,"Static"
7,"downward",30,30,,1.0,"Static"
7,"downward",60,60,,1.0,"Static"
7,"downward",90,90,,0.983333333,"Static"
7,"downward",120,120,,0.933333333,"Static"
7,"upward",30,30,,1.066666667,"Static"
7,"upward",60,60,,1.05,"Static"
7,"upward",90,90,,1.016666667,"Static"
7,"upward",120,120,,1.116666667,"Static"
8,"downward",30,30,,1.36,"Static"
8,"downward",60,60,,1.68,"Static"
8,"downward",90,90,,1.383333333,"Static"
8,"downward",120,120,,1.1,"Static"
